"","X","date","date_cleaned","year","month","day","day_of_week","match_start_time","match_start_time_cleaned","match_start_hour","match_start_minute","home_team","away_team","stadium","attendance","home_team_league_rank","home_goals","away_team_league_rank","away_goals","home_possessions","away_possessions","home_shots","away_shots","home_on","away_on","home_off","away_off","home_blocked","away_blocked","home_pass","away_pass","home_chances","away_chances","home_corners","away_corners","home_offside","away_offside","home_tackles","away_tackles","home_duels","away_duels","home_saves","away_saves","home_fouls","away_fouls","home_yellow","away_yellow","home_red","away_red","links"
"253",253,"5th November 2022","2022-11-05",2022,11,5,"Sat","3:00pm","0-01-01 15:00:00",15,0,"wolverhampton-wanderers","brighton-and-hove-albion","Molineux",30732,13,2,6,3,28.6,71.4,8,19,5,8,1,7,2,4,75.4,90.2,1,1,4,9,1,1,38.9,78.6,34.8,65.2,5,3,15,11,2,0,1,0,"https://www.skysports.com/football/wolverhampton-wanderers-vs-brighton-and-hove-albion/464784"
"254",254,"5th November 2022","2022-11-05",2022,11,5,"Sat","5:30pm","0-01-01 17:30:00",17,30,"everton","leicester-city","Goodison Park",39206,17,0,18,2,48.4,51.6,12,22,2,8,5,7,5,7,80.5,85.4,2,3,8,3,0,1,50,61.5,76,24,6,2,9,5,0,0,0,0,"https://www.skysports.com/football/everton-vs-leicester-city/464777"
"255",255,"30th October 2022","2022-10-30",2022,10,30,"Sun","2:00pm","0-01-01 14:00:00",14,0,"arsenal","nottingham-forest","Emirates Stadium",60263,2,5,16,0,69.1,30.9,24,5,10,2,5,2,9,1,89.2,75.6,3,0,9,4,1,2,64.3,56,43.5,56.5,2,4,9,8,0,1,0,0,"https://www.skysports.com/football/arsenal-vs-nottingham-forest/464765"
"256",256,"30th October 2022","2022-10-30",2022,10,30,"Sun","4:15pm","0-01-01 16:15:00",16,15,"manchester-united","west-ham-united","Old Trafford",73682,3,1,14,0,53,47,16,13,3,5,7,2,6,6,82.7,82.8,3,1,5,10,1,2,83.3,53.8,53.3,46.7,4,2,12,10,1,3,0,0,"https://www.skysports.com/football/manchester-united-vs-west-ham-united/464773"
"257",257,"29th October 2022","2022-10-29",2022,10,29,"Sat","12:30pm","0-01-01 12:30:00",12,30,"leicester-city","manchester-city","The King Power Stadium",32223,18,0,1,1,35.7,64.3,10,15,5,5,4,6,1,4,80.3,90,1,0,3,10,0,2,75,57.1,45.8,54.2,4,5,5,10,0,0,0,0,"https://www.skysports.com/football/leicester-city-vs-manchester-city/464771"
"258",258,"29th October 2022","2022-10-29",2022,10,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"bournemouth","tottenham-hotspur","Vitality Stadium",10430,15,2,8,3,30.6,69.4,6,23,4,7,2,10,0,6,76.4,89.9,2,2,2,19,0,3,50,43.8,52.2,47.8,4,2,10,5,1,2,0,0,"https://www.skysports.com/football/bournemouth-vs-tottenham-hotspur/464766"
"259",259,"29th October 2022","2022-10-29",2022,10,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"brentford","wolverhampton-wanderers","Gtech Community Stadium",17051,9,1,13,1,57.8,42.2,12,13,3,4,6,6,3,3,80.4,75.3,1,0,3,6,0,1,52.9,35.3,62.1,37.9,3,2,10,17,3,3,0,1,"https://www.skysports.com/football/brentford-vs-wolverhampton-wanderers/464767"
"260",260,"29th October 2022","2022-10-29",2022,10,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"brighton-and-hove-albion","chelsea","Amex Stadium",31746,6,4,12,1,41,59,19,15,9,7,7,5,3,3,79.1,86,2,1,8,7,0,0,61.1,50,47.8,52.2,7,5,16,6,1,2,0,0,"https://www.skysports.com/football/brighton-and-hove-albion-vs-chelsea/464768"
"261",261,"29th October 2022","2022-10-29",2022,10,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"crystal-palace","southampton","Selhurst Park",25130,11,1,20,0,44.4,55.6,12,14,3,4,4,6,5,4,72.1,81.3,1,3,8,4,5,3,69.6,65,50,50,4,2,13,12,3,3,0,0,"https://www.skysports.com/football/crystal-palace-vs-southampton/464769"
"262",262,"29th October 2022","2022-10-29",2022,10,29,"Sat","3:00pm","0-01-01 15:00:00",15,0,"newcastle-united","aston-villa","St James' Park, Newcastle",52233,4,4,7,0,59.5,40.5,20,3,7,0,10,0,3,3,78.8,73.9,3,0,3,0,2,3,60,47.4,61.9,38.1,0,3,11,11,1,1,0,0,"https://www.skysports.com/football/newcastle-united-vs-aston-villa/464774"
"263",263,"29th October 2022","2022-10-29",2022,10,29,"Sat","5:30pm","0-01-01 17:30:00",17,30,"fulham","everton","Craven Cottage",23534,10,0,17,0,56.5,43.5,24,9,6,4,10,3,8,2,83.4,79.7,0,2,13,4,0,5,50,60,63.6,36.4,4,6,10,8,2,1,0,0,"https://www.skysports.com/football/fulham-vs-everton/464770"
"264",264,"29th October 2022","2022-10-29",2022,10,29,"Sat","7:45pm","0-01-01 19:45:00",19,45,"liverpool","leeds-united","Anfield",53274,5,1,19,2,69,31,22,14,10,6,8,6,4,2,81.6,63.2,3,1,14,5,0,0,52.9,33.3,50,50,4,9,9,3,0,1,0,0,"https://www.skysports.com/football/liverpool-vs-leeds-united/464772"
"265",265,"24th October 2022","2022-10-24",2022,10,24,"Mon","8:00pm","0-01-01 20:00:00",20,0,"west-ham-united","bournemouth","London Stadium",62447,14,2,15,0,54.4,45.6,20,5,4,3,8,2,8,0,84.7,83.1,1,1,5,0,1,0,45.5,76.2,48.6,51.4,3,2,9,11,0,2,0,0,"https://www.skysports.com/football/west-ham-united-vs-bournemouth/464763"
"266",266,"23rd October 2022","2022-10-23",2022,10,23,"Sun","2:00pm","0-01-01 14:00:00",14,0,"aston-villa","brentford","Villa Park",41693,7,4,9,0,45.1,54.9,19,12,11,3,3,5,5,4,75.1,76.1,2,1,7,6,0,1,60,50,41.7,58.3,3,7,14,11,1,0,0,0,"https://www.skysports.com/football/aston-villa-vs-brentford/464755"
"267",267,"23rd October 2022","2022-10-23",2022,10,23,"Sun","2:00pm","0-01-01 14:00:00",14,0,"leeds-united","fulham","Elland Road",36447,19,2,10,3,57.2,42.8,14,11,5,5,4,3,5,3,79.9,71.8,3,5,3,6,4,4,40.9,56.3,45.2,54.8,1,3,12,8,1,1,0,0,"https://www.skysports.com/football/leeds-united-vs-fulham/464758"
"268",268,"23rd October 2022","2022-10-23",2022,10,23,"Sun","2:00pm","0-01-01 14:00:00",14,0,"southampton","arsenal","St. Mary's Stadium",31145,20,1,2,1,40.7,59.3,10,12,3,3,3,4,4,5,80.4,86.1,1,3,9,4,4,3,66.7,56.3,50,50,2,2,11,8,2,1,0,0,"https://www.skysports.com/football/southampton-vs-arsenal/464761"
"269",269,"23rd October 2022","2022-10-23",2022,10,23,"Sun","2:00pm","0-01-01 14:00:00",14,0,"wolverhampton-wanderers","leicester-city","Molineux",31425,13,0,18,4,60.9,39.1,21,5,6,4,7,1,8,0,85.3,72.6,2,2,9,2,3,3,63.6,34.8,65.4,34.6,0,5,10,12,2,1,0,0,"https://www.skysports.com/football/wolverhampton-wanderers-vs-leicester-city/464764"
"270",270,"23rd October 2022","2022-10-23",2022,10,23,"Sun","4:30pm","0-01-01 16:30:00",16,30,"tottenham-hotspur","newcastle-united","Tottenham Hotspur Stadium",61726,8,1,4,2,52.4,47.6,17,13,5,5,4,3,8,5,79,81.2,2,1,6,7,3,4,58.8,73.3,54.3,45.7,3,3,12,6,4,2,0,0,"https://www.skysports.com/football/tottenham-hotspur-vs-newcastle-united/464762"
